ID,artist,song,genre,section,key,mode,tempo,bar
001,,,,Verse,A,Minor,158,8
002,,,Pop,Verse,C,Major,132,8
003,,,Electro,Chorus,A,Minor,129,8
004,,,Rock,Chorus,C,Major,100,8
005,,,,Intro,A,Minor,145,8
006,,,,Chorus,A,Minor,147,8
007,,,Electro,Chorus,A,Minor,124,8
008,,,Pop,Chorus,A,Minor,128,8
009,,,Electro,Chorus,C,Major,126,8
010,,,Pop,Chorus,A,Minor,104,8
011,,,Electro,Verse,A,Minor,130,8
012,,,Electro,Chorus,A,Minor,129,8
013,,,Country,Prechorus,A,Minor,128,8
014,,,Pop,Verse,C,Major,74,8
015,,,Indie,Verse,C,Major,142,8
016,,,Soundtrack,Verse,C,Major,102,8
017,,,Electro,Chorus,C,Major,136,8
018,,,Jpop,Chorus,A,Minor,124,8
019,,,Pop,Chorus,C,Major,86,8
020,,,,Chorus,A,Minor,126,8
021,,,House,House,A,Minor,128,8
022,,,Pop,Chorus,C,Major,108,8
023,,,Pop,Chorus,C,Major,100,8
024,,,Pop,Chorus,A,Minor,155,8
025,,,,Chorus,C,Major,78,8
026,,,Soundtrack,Instrumental,C,Major,78,8
027,,,Electro,Chorus,A,Minor,128,8
028,,,Electro,Chorus,A,Minor,90,8
029,,,,Chorus,A,Minor,131,8
030,,,,Prechorus,A,Minor,158,8
031,,,Pop,Chorus,C,Major,164,8
032,,,Pop,Prechorus,C,Major,94,8
033,,,Electro,Instrumental,A,Minor,132,8
034,,,Pop,Chorus,A,Minor,61,8
035,,,Soundtrack,Instrumental,C,Major,177,8
036,,,Electro,Verse,A,Minor,126,8
037,,,Dance,Prechorus,A,Minor,128,8
038,,,Electro,Prechorus,A,Minor,123,8
039,,,Metal,Chorus,C,Major,130,8
040,,,Pop,Chorus,C,Major,68,8
041,,,,Chorus,A,Minor,139,8
042,,,Pop,Chorus,C,Major,99,8
043,,,Pop,Verse,C,Major,128,8
044,,,Jpop,Verse,A,Minor,91,8
045,,,Kpop,Chorus,C,Major,70,8
046,,,Electro,Chorus,A,Minor,129,8
047,,,Soundtrack,Verse,C,Major,92,8
048,,,Metal,Verse,C,Major,130,8
049,,,Pop,Chorus,C,Major,138,8
050,,,Rnb,Prechorus,C,Major,93,8
051,,,,Chorus,C,Major,122,8
052,,,Rock,Verse,A,Minor,112,8
053,,,Jpop,Verse,C,Major,128,8
054,,,Jazz,Intro,C,Major,128,8
055,,,Electro,Prechorus,A,Minor,132,8
056,,,Electro,Chorus,A,Minor,126,8
057,,,Pop,Chorus,A,Minor,72,8
058,,,Rock,Intro,C,Major,128,8
059,,,Pop,Chorus,A,Minor,135,8
060,,,Soundtrack,Chorus,C,Major,87,8
061,,,,Verse,C,Major,128,8
062,,,Electro,Verse,A,Minor,133,8
063,,,Pop,Verse,C,Major,128,8
064,,,Soundtrack,Verse,C,Major,102,8
065,,,Electro,Intro,A,Minor,127,8
066,,,Electro,Chorus,A,Minor,126,8
067,,,Alternative,Verse,A,Minor,85,8
068,,,Electro,Prechorus,A,Minor,140,8
069,,,Rnb,Chorus,C,Major,99,8
070,,,Pop,Verse,C,Major,146,8
071,,,,Verse,C,Major,128,8
072,,,Electro,Verse,C,Major,128,8
073,,,Jpop,Chorus,C,Major,172,8
074,,,Electro,Verse,A,Minor,127,8
075,,,Pop,Intro,A,Minor,123,8
076,,,Electro,Chorus,A,Minor,115,8
077,,,Pop,Verse,C,Major,173,8
078,,,Electro,Intro,C,Major,136,8
079,,,Game,Verse,C,Major,162,8
080,,,Pop,Chorus,C,Major,73,8
081,,,Electro,Intro,A,Minor,128,8
082,,,,Intro,A,Minor,163,8
083,,,,Intro,A,Minor,125,8
084,,,Pop,Verse,C,Major,157,8
085,,,Jazz,Chorus,A,Minor,104,8
086,,,,Chorus,C,Major,97,8
087,,,Electro,Intro,A,Minor,138,8
088,,,,Chorus,C,Major,128,8
089,,,Country,Chorus,A,Minor,126,8
090,,,House,Chorus,A,Minor,129,8
091,,,Holiday,Chorus,A,Minor,77,8
092,,,Pop,Chorus,C,Major,105,8
093,,,Electro,Solo,C,Major,123,8
094,,,Raggae,Verse,C,Major,84,8
095,,,Rnb,Chorus,A,Minor,72,8
096,,,Electro,Chorus,C,Major,140,8
097,,,,Chorus,A,Minor,100,8
098,,,Pop,Verse,A,Minor,80,8
099,,,Instrumental,Chorus,A,Minor,124,8
100,,,Country,Outro,C,Major,128,8
101,,,Electro,Intro,C,Major,136,8
102,,,Pop,Verse,C,Major,71,8
103,,,Pop,Verse,A,Minor,72,8
104,,,Electro,Chorus,A,Minor,132,8
105,,,Electro,Chorus,C,Major,128,8
106,,,,Verse,C,Major,119,8
107,,,Raggae,Chorus,A,Minor,128,8
108,,,Electro,Chrous,A,Minor,128,8
109,,,House,Verse,A,Minor,120,8
110,,,Pop,Chorus,C,Major,127,8
111,,,Alternative,Chorus,A,Minor,85,8
112,,,Electro,Prechorus,A,Minor,140,8
113,,,Electro,Verse,A,Minor,132,8
114,,,Electro,Verse,C,Major,150,8
115,,,Game,Instrumental,C,Major,106,8
116,,,Electro,Verse,A,Minor,128,8
117,,,Electro,Intro,A,Minor,138,8
118,,,Electro,Chorus,A,Minor,128,8
119,,,,Chorus,A,Minor,136,8
120,,,Pop,Chorus,C,Major,98,8
121,,,Electro,Chorus,A,Minor,130,8
122,,,,Verse,A,Minor,145,8
123,,,Electro,Prechorus,A,Minor,176,8
124,,,Indie,Verse,C,Major,111,8
125,,,Jazz,Verse,C,Major,126,8
126,,,Pop,Bridge,C,Major,100,8
127,,,Pop,Prechorus,C,Major,88,8
128,,,Pop,Prechorus,C,Major,164,8
129,,,Pop,Verse,A,Minor,78,8
130,,,Pop,Chorus,C,Major,128,8
131,,,Rnb,Chorus,C,Major,93,8
132,,,Pop,Verse,C,Major,76,8
133,,,Electro,Chorus,C,Major,110,8
134,,,Electro,Solo,A,Minor,140,8
135,,,Soundtrack,Verse,C,Major,92,8
136,,,Electro,Outro,A,Minor,132,8
137,,,Hiphop,Prechorus,A,Minor,103,8
138,,,,Intro,A,Minor,174,8
139,,,Pop,Chorus,A,Minor,128,8
140,,,Pop,Chorus,C,Major,98,8
141,,,Rock,Intro,A,Minor,112,8
142,,,Rock,Bridge,C,Major,98,8
143,,,Pop,Chorus,C,Major,128,8
144,,,Electro,Intro,A,Minor,128,8
145,,,Jazz,Solo,A,Minor,132,8
146,,,Jpop,Chorus,A,Minor,138,8
147,,,Anthem,Verse,C,Major,76,8
148,,,Electro,Chorus,A,Minor,132,8
149,,,Electro,Prechorus,A,Minor,128,8
150,,,Pop,Prechorus,C,Major,173,8
151,,,Pop,Chorus,C,Major,168,8
152,,,Electro,Intro,A,Minor,175,8
153,,,Electro,Verse,C,Major,161,8
154,,,Electro,Chorus,A,Minor,127,8
155,,,,Chorus,A,Minor,100,8
156,,,Pop,Verse,C,Major,100,8
157,,,Electro,Chorus,A,Minor,122,8
158,,,Electro,Verse,A,Minor,171,8
159,,,Electro,Prechorus,C,Major,128,8
160,,,Pop,Verse,A,Minor,128,8
161,,,Indie,Verse,C,Major,110,8
162,,,,Chorus,A,Minor,147,8
163,,,Jpop,Chorus,C,Major,179,8
164,,,House,Verse,C,Major,124,8
165,,,Electro,Verse,A,Minor,171,8
166,,,Soundtrack,Chorus,A,Minor,140,8
167,,,,Verse,A,Minor,139,8
168,,,Pop,Chorus,C,Major,124,8
169,,,Electro,Bridge,C,Major,128,8
170,,,Rnb,Chorus,C,Major,96,8
171,,,Jpop,Verse,A,Minor,138,8
172,,,,Chorus,C,Major,128,8
173,,,Pop,Intro,A,Minor,80,8
174,,,Electro,Chorus,A,Minor,130,8
175,,,Pop,Chorus,A,Minor,127,8
176,,,,Chorus,C,Major,105,8
177,,,,Intro,A,Minor,174,8
178,,,Pop,Verse,A,Minor,112,8
179,,,Country,Verse,A,Minor,126,8
180,,,Pop,Chorus,A,Minor,119,8
181,,,Soul,Chorus,A,Minor,190,8
182,,,Rock,Chorus,C,Major,85,8
183,,,Electro,Prechours,A,Minor,128,8
184,,,Game,Intro,C,Major,162,8
185,,,,Verse,C,Major,85,8
186,,,Pop,Chorus,C,Major,105,8
187,,,Soundtrack,Chorus,C,Major,128,8
188,,,Rock,Verse,C,Major,128,8
189,,,Country,Prechorus,A,Minor,126,8
190,,,Country,Solo,A,Minor,128,8
191,,,Rock,Chorus,C,Major,87,8
192,,,Pop,Verse,C,Major,173,8
193,,,Indie,Chorus,C,Major,142,8
194,,,Indie,Bridge,C,Major,181,8
195,,,Soundtrack,Chorus,C,Major,92,8
196,,,Pop,Prechorus,A,Minor,119,8
197,,,Pop,Chorus,A,Minor,93,8
198,,,Electro,Chorus,C,Major,128,8
199,,,Rock,Prechorus,A,Minor,112,8
200,,,Pop,Verse,C,Major,100,8
201,,,Electro,Verse,A,Minor,64,8
202,,,Pop,Chorus,C,Major,88,8
203,,,Electro,Prechorus,A,Minor,170,8
204,,,Pop,Chorus,C,Major,76,8
205,,,Pop,Chorus,C,Major,158,8
206,,,Electro,Chorus,A,Minor,128,8
207,,,,Verse,C,Major,112,8
208,,,Rock,Chorus,C,Major,142,8
209,,,Pop,Verse,C,Major,100,8
210,,,,Prechorus,A,Minor,98,8
211,,,,Intro,A,Minor,98,8
