ID,artist,song,genre,section,key,mode,tempo,bar
1,?K'naan?,World Cup Theme,,verse,C,major,152,8
2,?K'naan?,World Cup Theme,,Chorus,C,major,151,8
3,Kambua Manundu,Again,,intro and verse,B,major,68,16
4,Kambua Manundu,Again,,pre-chorus and chorus,B,major,68,16
5,Kamelot,Center Of The Universe,,Intro and Verse,D#,minor,170,16
7,Kanon Wakeshima ,Signal - Strike the Blood Anime ED,"J-pop, pop",verse,G,major,80,8
8,Kaoru Akimoto ,Dress Down,J-pop,,Bb,minor,120,8
10,Kasabian ,Goodbye Kiss ,"Alternative, Folk, Indie, Rock",intro and verse,G,major,122,16
11,Katamari Damacy Soundtrack ,Katamari on the Rocks,"J-Pop, Soundtrack, Video Game",chorus,B,major,159,16
13,Kato,Celebrate Life - Stafford Brothers Remix ,house,chorus,F#,major,128,8
14,Katy B,Katy On A Mission ,,intro,C,minor,139,8
15,Katy Perry,Birthday,pop,verse,B,major,125,8
16,Katy Perry,California Gurls,,verse,F,major,125,16
17,Katy Perry,California Gurls,,pre-chorus,F,major,125,8
18,Katy Perry,California Gurls,,chorus,F,major,124,8
19,Katy Perry,Dark Horse,electronic,verse,Bb,minor,65,8
20,Katy Perry,Dressin' Up ,pop,chorus,A,minor,141,8
