ID,artist,song,genre,section,key,mode,tempo,bar
1,U2,All I Want Is You,,Verse and Pre-Chorus,Ab,Major,93,8
2,U2,Desire,Rock,Verse,Db,Lydian,215,16
3,U2,Hold Me Thrill Me Kiss Me Kill Me,Rock,Verse and Pre-Chorus,Eb,Major,85,16
4,U2,I Still Haven't Found What I'm Looking For,,Verse,Db,Major,100,8
5,U2,One ,Rock,Chorus,C,Major,90,8
6,U2,Original Of The Species,,Pre-Chorus,A,Mixolydian,87,8
7,U2,Original Of The Species,,Chorus,A,Major,87,8
8,U2,Original Of The Species,,Outro,A,Major,87,8
9,U2,Running to Stand Still,,Verse,D,Major,95,8
10,U2,The Miracle of Joey Ramone,Rock,Chorus,D,Major,134,16
11,U2,Where The Streets Have No Name,Rock,Intro,D,Major,125,16
12,U2,Where The Streets Have No Name,Rock,Chorus,D,Major,125,16
13,U2,With or Without You,,Verse,Eb,Major,110,8
14,U2,Yahweh ,,Verse,C,Major,126,8
