ID,artist,song,genre,section,key,mode,tempo,bar
1,Valve Studio Orchestra ,The Calm,Video Game,Verse,A,Phrygian,97,8
2,Valve Studio Orchestra ,The Calm,Video Game,Chorus,D,Minor,116,8
3,Vampire Weekend,A-Punk,Indie,Verse,D,Major,176,8
4,Van Halen,Jump,Rock,Intro,C,Major,132,8
5,Van McCoy,Do The Hustle,,Chorus,F,Major,112,8
6,Van Morrison,Brown Eyed Girl,,Verse,G,Major,146,16
7,Van Morrison,Brown Eyed Girl,,Pre-Chorus,G,Major,146,8
8,Van Morrison,Brown Eyed Girl,,Chorus,G,Major,146,8
9,Vance Joy,Georgia,"Indie, Singer-Songwriter",Verse,G#,Minor,70,8
10,Vance Joy,Georgia,"Indie, Singer-Songwriter",Bridge,G#,Minor,114,8
11,Vance Joy,Riptide,"Indie, Pop",Verse,A,Minor,98,8
12,Vance Joy,Riptide,"Indie, Pop",Chorus,C,Major,103,8
13,Vandenberg ,Burning Heart ,Rock,Verse,G#,Minor,124,8
14,Vanessa Carlton,A Thousand Miles,,Chorus,B,Major,94,8
15,Vanessa Carlton,San Francisco,,Intro and Verse,C,Major,131,16
16,Vanessa Carlton,San Francisco,,Chorus Lead-Out,F,Major,131,16
17,Vanessa Hudgens ,When There Was Me and You - High School Musical,,Intro and Verse,D,Major,120,16
18,Vanessa Hudgens ,When There Was Me and You - High School Musical,,Chorus,D,Major,119,16
19,Vanessa Hudgens ,When There Was Me and You - High School Musical,,Solo,E,Major,120,16
20,Vanessa Hudgens ,When There Was Me and You - High School Musical,,Solo 1,E,Major,120,16
21,Vanessa Hudgens ,When There Was Me and You - High School Musical,,Outro,E,Major,119,16
22,Vanessa Williams,Save The Best For Last,,Verse and Pre-Chorus,Eb,Major,96,16
23,Vangelis,Chariots of Fire,Soundtrack,Intro,Db,Major,140,8
24,Vangelis,Chariots of Fire,Soundtrack,Chorus,Db,Major,140,8
25,Vangelis,Chariots of Fire,Soundtrack,Bridge,Db,Major,137,8
26,Varian,My Great Adventure,,Instrumental,E,Minor,127,8
27,Varien,Valkyrie feat Laura Brehm,,Verse,Bb,Minor,87,8
28,Varien,Valkyrie feat Laura Brehm,,Chorus,Bb,Minor,173,24
29,Varius Manx,Piosenka ksiezycowa,,Verse,A,Minor,128,8
30,Varius Manx,Piosenka ksiezycowa,,Chorus,A,Minor,127,16
31,Vaya Con Dios,Nah Neh Nah,Pop,Verse,F#,Minor,111,8
32,Veggie Tales,His Cheeseburger ,Children's,Verse,B,Major,108,16
33,Veggie Tales,His Cheeseburger ,Children's,Chorus,B,Major,108,8
34,Veggie Tales,His Cheeseburger ,Children's,Solo,B,Major,127,8
35,Velvetine,The Great Divide,,Chorus,C#,Mixolydian,131,8
36,Venezuela,Crazybus,,Verse,C,Major,104,8
37,Vengaboys,Up and Down,,Intro,F#,Major,135,8
38,Vera Lynn,We'll Meet Again,,Verse,D,Major,92,16
39,Veracocha,Carte Blanche,,Verse and Pre-Chorus,Bb,Minor,140,24
40,Veracocha,Carte Blanche,,Chorus,Bb,Minor,140,24
41,Verka Serduchka,Dancing Lasha Tumbai ,"Electronic, Pop",Verse,E,Minor,145,8
42,Verka Serduchka,Dancing Lasha Tumbai ,"Electronic, Pop",Chorus,E,Minor,145,8
43,Veronica Maggio ,Jag kommer,,Intro,Eb,Major,151,8
44,Veronica Maggio ,Jag kommer,,Verse and Pre-Chorus,Eb,Major,151,16
45,Veronica Maggio ,Jag kommer,,Chorus,Eb,Major,151,16
46,Vertical Horizon,Echo,"Alternative, Pop, Rock",Chorus,F#,Major,90,8
47,Vertical Horizon ,Frost,"Electronic, Pop, Rock",Chorus,F,Major,127,16
48,Vertical Horizon ,I'm Still Here,"Alternative, Pop, Rock",Verse,Db,Major,91,8
49,Vertical Horizon ,I'm Still Here,"Alternative, Pop, Rock",Chorus,Db,Major,91,8
50,Vertical Horizon ,I'm Still Here,"Alternative, Pop, Rock",Bridge,Db,Major,91,8
51,Vi Hart ,Mary Had a Laser Bat,,Verse,C,Major,102,16
52,Vicetone,Nothing Stopping Me,House,Chorus,F,Major,126,8
53,Vicetone,United We Dance,,Chorus,C,Dorian,126,8
54,Victor Young,Stella By Starlight,,Verse,Bb,Major,57,16
55,Villa-Lobos,Little Train of Caipira,,Verse,C,Major,53,8
56,Village People,YMCA,,Verse,F#,Major,127,8
57,Village People,YMCA,,Chorus,F#,Major,127,8
58,Vince Guaraldi ,Christmastime Is Here,,Intro,F,Major,98,8
59,Vincent Youmans,Tea For Two,"Jazz, Latin",Intro,Ab,Major,118,8
60,Vincenzo,Where You Are,,Verse,F#,Minor,116,8
61,Vincenzo,Where You Are,,Chorus,F#,Minor,115,8
62,Vinyl Dharma ,Head To The Hills - PROFF Remix,"Electronic, House",Chorus,C,Minor,128,16
63,Violens,All Night Low ,,Verse,C,Minor,174,16
64,Viper,You'll Cowards Dont Even Smoke Crack,,Chorus,C#,Minor,119,8
65,Vivaldi,Concerto in A Minor 3rd Mvt RV 356,,Verse,A,Minor,105,8
66,Vlad,Magicka 2,,Verse,F,Minor,134,8
67,VNV Nation Remix ,Suicide Commando - Hellraiser,"Electronic, Soundtrack",Instrumental,D,Minor,69,32
68,Vulfpeck,1612,,Intro,C,Major,170,8
