ID,artist,song,genre,section,key,mode,tempo,bar
1,Waka Flocka Flame ,No Hands,,Chorus,E,Major,131,8
2,Wakabayashi Mitsuru ,This Game,"J-Pop, Soundtrack",Intro,C#,Minor,145,8
3,Wakabayashi Mitsuru ,This Game,"J-Pop, Soundtrack",Verse,C#,Minor,145,16
4,Wakabayashi Mitsuru ,This Game,"J-Pop, Soundtrack",Pre-Chorus,E,Minor,145,8
5,Wakabayashi Mitsuru ,This Game,"J-Pop, Soundtrack",Chorus Lead-Out,E,Minor,147,16
6,Wallpaper,BEST SONG EVERRR,,Pre-Chorus,G,Major,129,8
7,Wally Badarou,The Dachstein Angels,,Verse,Db,Major,356,16
8,Wally Badarou,The Dachstein Angels,,Chorus,Db,Major,361,24
9,Walter 'Jack' Rollins and Steve Nelson ,Frosty The Snowman,Children's,Chorus,C#,Major,147,16
10,Walter Murphy,American Dad - Theme Song,Soundtrack,Chorus,Bb,Major,148,16
11,Walter Murphy,Family Guy - Theme Song,"Jazz, Soundtrack",Chorus,F,Major,145,16
12,Walter Murphy,FAMILY GUY THEME SONG,,Verse,F,Major,145,16
13,Walter Murphy,The Freaking FCC,,Intro and Verse,C#,Major,130,8
14,Wan Wan,Diva's Device,"Soundtrack, Video Game",Intro,Bb,Minor,175,8
15,Wan Wan,Diva's Device,"Soundtrack, Video Game",Verse,Bb,Minor,175,16
16,Wan Wan,Diva's Device,"Soundtrack, Video Game",Pre-Chorus,Bb,Minor,175,8
17,Wan Wan,Diva's Device,"Soundtrack, Video Game",Chorus,C#,Minor,175,32
18,Wan Wan,Diva's Device,"Soundtrack, Video Game",Outro,C#,Minor,175,8
19,Wan Wan,Life Guiding Song - Prospect Mirai,"Soundtrack, Video Game",Verse,B,Minor,163,8
20,Wan Wan,Life Guiding Song - Prospect Mirai,"Soundtrack, Video Game",Pre-Chorus,B,Minor,163,32
21,Wan Wan,Life Guiding Song - Prospect Mirai,"Soundtrack, Video Game",Chorus,F,Minor,163,16
22,Wan Wan,Life Guiding Song - Prospect Mirai,"Soundtrack, Video Game",Solo,B,Minor,163,16
23,Wan Wan,Sky-Filling Departed Spirit - Lightning Word,"Soundtrack, Video Game",Intro,F,Minor,179,32
24,Wan Wan,Surpass the Gate of the Silver Key,"Soundtrack, Video Game",Intro,Bb,Minor,144,16
25,Wan Wan,Surpass the Gate of the Silver Key,"Soundtrack, Video Game",Verse,Bb,Minor,144,16
26,Wan Wan,Surpass the Gate of the Silver Key,"Soundtrack, Video Game",Pre-Chorus,Bb,Minor,144,8
27,Wan Wan,Surpass the Gate of the Silver Key,"Soundtrack, Video Game",Chorus,Bb,Minor,144,16
28,Wan Wan,The Princess That Was Erased From History,Video Game,Intro,D#,Minor,160,16
29,Wan Wan,The Princess That Was Erased From History,Video Game,Verse,D#,Minor,160,16
30,Wan Wan,World Yamataizer,"Soundtrack, Video Game",Intro,D#,Minor,178,24
31,Wan Wan,World Yamataizer,"Soundtrack, Video Game",Verse,C,Minor,178,16
32,Wan Wan,World Yamataizer,"Soundtrack, Video Game",Pre-Chorus and Chorus,F#,Minor,178,16
33,Wanting ,Jar of Love,,Chorus,Eb,Major,125,8
34,War,Why Can't We Be Friends,,Intro,Bb,Major,91,8
35,War,Why Can't We Be Friends,,Chorus,Bb,Major,91,8
36,Warren Zevon,Please Stay,Country,Verse,C,Major,65,16
37,Warren Zevon,Please Stay,Country,Bridge,C,Major,65,8
38,Warren Zevon,Things To Do In Denver When You're Dead,"Country, Rock",Verse,A,Major,88,8
39,Washed Out ,New Theory,,Chorus,E,Minor,202,8
40,Wave Racer ,Flash Drive,"Electronic, J-Pop, Soul",Bridge,G,Major,133,8
41,Wave Racer ,Streamers,"Dance, Electronic, Soul",Chorus Lead-Out,Eb,Lydian,139,8
42,Wavetraxx,Beach Stringz - Lennox Remix,Electronic,Chorus,G,Mixolydian,139,16
43,Wavves,Afraid of Heights,,Verse,F,Major,118,8
44,Wavves,Afraid of Heights,,Chorus,F,Major,118,8
45,Wavves,Pony,,Verse,A,Major,170,16
46,Wavves,Pony,,Pre-Chorus,A,Major,170,8
47,Wavves,Pony,,Chorus,A,Major,165,8
48,Wavves,Pony,,Chorus Lead-Out,A,Major,170,8
49,Wavves,Super Soaker,,Chorus,C,Major,196,16
50,Wavves,Super Soaker,,Bridge,A,Major,196,8
51,Wavves,That's On Me,,Verse,G,Mixolydian,128,16
52,Wavves,That's On Me,,Chorus,G,Mixolydian,128,8
53,Wavves,Way Too Much,,Verse,Bb,Major,164,8
54,Wavves,Way Too Much,,Chorus,Bb,Major,164,8
55,Wavves,Way Too Much,,Bridge,Bb,Major,164,8
56,We the Kings,Check Yes Juliet,Rock,Intro,D,Major,167,8
57,We the Kings,Stay Young,,Verse,Eb,Major,160,8
58,We the Kings,Stay Young,,Chorus,Eb,Major,160,8
