ID,artist,song,genre,section,key,mode,tempo,bar
1,Yahel and Eyal Barkan ,Voyage,,Chorus,D#,Minor,139,8
2,Yann Tiersen,J'y suis jamais alle,Soundtrack,Intro,G,Major,101,8
3,Yanni ,One Man's Dream,,Solo 1,C,Minor,114,8
4,Yasuaki Fujita,Mega Man 3 - Ending,Video Game,Chorus,E,Minor,133,16
5,Yasuaki Fujita,Mega Man 3 - Gemini Man Stage,Video Game,Verse,C,Minor,225,16
6,Yasuaki Fujita,Mega Man 3 - Magnet Man Stage,Video Game,Verse,F#,Major,143,8
7,Yasuaki Fujita,Mega Man 3 - Magnet Man Stage,Video Game,Chorus,F#,Mixolydian,143,8
8,Yasuaki Fujita,Mega Man 3 - Proto Man's Theme,Video Game,Instrumental,G,Minor,160,32
9,Yasuaki Fujita,Mega Man 3 Title,Video Game,Intro,F#,Dorian,160,16
10,Yasuaki Fujita,Mega Man 3 Title,Video Game,Chorus,C#,Minor,163,16
11,Yasuharu Takanashi,Fairy Tail - Main Theme,J-Pop,Intro and Verse,D#,Minor,111,8
12,Yasunori Mitsuda,Black Omen,,Verse,G,Dorian,174,16
13,Yasunori Mitsuda,Black Omen,,Chorus,C,Minor,173,8
14,Yasunori Mitsuda,Chrono Trigger - Epilogue To Good Friends,Video Game,Outro,Eb,Major,90,8
15,Yasunori Mitsuda,Chrono Trigger - Main Theme,,Intro,A,Dorian,129,8
16,Yasunori Mitsuda,Chrono Trigger - Main Theme,,Verse,A,Dorian,129,16
17,Yasunori Mitsuda,Chrono Trigger - Morning Glow,Video Game,Instrumental,C,Major,57,8
18,Yasunori Mitsuda,Chrono Trigger - To Far Away Times,"Soundtrack, Video Game",Chorus,Db,Major,119,8
19,Yasunori Mitsuda,Chrono Trigger - Yearnings of the Wind,Video Game,Intro,D,Minor,83,8
20,Yasunori Mitsuda,Radical Dreamers,"J-Pop, Video Game",Intro and Verse,B,Minor,73,8
21,Yasunori Mitsuda,Radical Dreamers,"J-Pop, Video Game",Verse,D,Major,146,16
22,Yasunori Mitsuda,Radical Dreamers,"J-Pop, Video Game",Chorus,B,Minor,72,16
23,Yasunori Mitsuda,Radical Dreamers,"J-Pop, Video Game",Outro,B,Minor,72,8
24,YB,Flying Butterfly,,Verse,B,Major,143,8
25,YB,Flying Butterfly,,Pre-Chorus,B,Major,143,8
26,YB,Flying Butterfly,,Chorus,B,Major,144,8
27,Yeah Yeah Yeahs,Heads Will Roll,,Chorus,G#,Minor,131,8
28,Yeah Yeah Yeahs,Maps,"Alternative, Rock",Chorus,G,Major,121,8
29,Yeah Yeah Yeahs,Skeletons ,,Instrumental,G,Major,95,8
30,Yearlong Hours,Licensed Love,Punk,Verse,A,Major,161,8
31,Years and Years,King,"Dance, Electronic, Indie, Pop",Chorus,B,Minor,120,8
32,Years and Years,Shine,,Chorus,C#,Minor,107,8
33,Yellow Magic Orchestra,Behind the Mask,,Instrumental,F#,Minor,235,8
34,Yellow Ostrich ,Whale,,Chorus,D,Major,166,16
35,Yeng Constantino ,Chinito,,Verse,E,Major,64,8
36,Yes,The Revealing Science of God,,Verse,E,Major,157,16
37,Yes,The Revealing Science of God,,Chorus,D,Major,78,8
38,Yevgueni ,Welkenraedt,,Intro,A,Major,132,8
39,Yiruma ,River flows in you,,Intro and Verse,F#,Minor,142,8
40,Ylvis ,The Fox,,Verse and Pre-Chorus,C#,Dorian,128,16
41,Ylvis ,The Fox,,Chorus,C#,Dorian,128,16
