epoch,train1,train12,val1,val12,err1,err12,err1Avg,err12Avg
1,4.54,0.61,2.75,0.32,1.49,3.87,1.49,3.87
2,3.42,0.53,3.0,0.42,3.04,4.04,3.04,4.05
3,3.19,0.45,2.76,0.41,3.21,3.83,3.24,3.81
4,2.85,0.43,2.14,0.34,1.38,3.79,1.35,3.76
5,2.71,0.42,1.93,0.33,1.43,3.86,1.42,3.83
6,2.58,0.41,1.87,0.33,1.35,3.75,1.31,3.72
7,2.44,0.4,2.0,0.31,1.53,3.92,1.5,3.95
8,2.49,0.39,2.26,0.31,1.79,3.85,1.75,3.87
9,2.46,0.39,1.78,0.28,1.43,3.88,1.41,3.88
10,2.38,0.38,1.77,0.29,1.33,3.81,1.3,3.79
11,2.34,0.38,1.79,0.29,1.43,3.83,1.42,3.84
12,2.31,0.37,1.73,0.28,1.47,3.85,1.43,3.84
13,2.29,0.37,1.72,0.27,1.44,3.87,1.42,3.88
14,2.27,0.36,1.72,0.27,1.38,3.83,1.31,3.82
15,2.26,0.36,1.72,0.26,1.39,3.87,1.36,3.86
16,2.24,0.36,1.71,0.27,1.43,3.9,1.39,3.88
17,2.22,0.36,1.68,0.26,1.41,3.92,1.38,3.91
18,2.22,0.36,1.65,0.26,1.34,3.83,1.27,3.82
19,2.2,0.35,1.64,0.26,1.4,3.86,1.37,3.85
20,2.18,0.35,1.64,0.25,1.37,3.79,1.34,3.8
21,2.16,0.35,1.61,0.26,1.37,3.82,1.33,3.84
22,2.15,0.35,1.6,0.25,1.37,3.8,1.29,3.8
23,2.14,0.35,1.59,0.25,1.37,3.78,1.35,3.78
24,2.13,0.35,1.58,0.26,1.31,3.72,1.26,3.71
25,2.12,0.35,1.57,0.25,1.39,3.79,1.35,3.81
26,2.11,0.35,1.54,0.25,1.32,3.76,1.25,3.76
27,2.1,0.35,1.54,0.25,1.33,3.73,1.28,3.7
28,2.09,0.34,1.53,0.24,1.33,3.74,1.29,3.74
29,2.07,0.34,1.53,0.25,1.34,3.76,1.25,3.77
30,2.07,0.34,1.51,0.24,1.3,3.72,1.25,3.71
31,2.06,0.34,1.52,0.24,1.37,3.75,1.3,3.75
32,2.05,0.34,1.49,0.24,1.28,3.72,1.22,3.71
33,2.04,0.34,1.52,0.24,1.31,3.72,1.22,3.73
34,2.02,0.34,1.49,0.24,1.29,3.73,1.22,3.73
35,2.02,0.34,1.5,0.24,1.3,3.74,1.25,3.73
36,2.0,0.34,1.47,0.24,1.27,3.75,1.2,3.75
37,2.0,0.34,1.48,0.24,1.3,3.74,1.23,3.75
38,1.99,0.33,1.49,0.24,1.28,3.75,1.22,3.75
39,1.98,0.33,1.48,0.24,1.28,3.74,1.21,3.75
40,1.98,0.33,1.46,0.24,1.26,3.74,1.21,3.74
41,1.97,0.33,1.49,0.24,1.27,3.73,1.21,3.73
42,1.96,0.33,1.48,0.24,1.26,3.74,1.21,3.74
43,1.95,0.33,1.47,0.24,1.29,3.77,1.22,3.76
44,1.94,0.33,1.46,0.24,1.27,3.78,1.21,3.78
45,1.94,0.33,1.48,0.24,1.29,3.77,1.22,3.77
46,1.93,0.33,1.45,0.24,1.25,3.75,1.21,3.75
47,1.92,0.33,1.49,0.24,1.27,3.77,1.22,3.76
48,1.91,0.33,1.46,0.24,1.27,3.77,1.2,3.75
49,1.9,0.33,1.46,0.24,1.27,3.76,1.21,3.74
50,1.89,0.33,1.46,0.24,1.25,3.74,1.22,3.72
51,1.88,0.32,1.45,0.24,1.27,3.75,1.2,3.76
52,1.88,0.32,1.46,0.24,1.26,3.78,1.2,3.79
53,1.87,0.32,1.46,0.24,1.28,3.77,1.21,3.75
54,1.87,0.32,1.47,0.24,1.25,3.76,1.18,3.75
55,1.86,0.32,1.46,0.24,1.26,3.75,1.2,3.76
56,1.84,0.32,1.46,0.24,1.26,3.8,1.18,3.78
57,1.83,0.32,1.45,0.24,1.26,3.76,1.2,3.73
58,1.82,0.32,1.47,0.24,1.27,3.77,1.18,3.76
59,1.81,0.32,1.48,0.24,1.29,3.78,1.24,3.79
60,1.81,0.32,1.48,0.24,1.26,3.77,1.21,3.77
61,1.79,0.31,1.47,0.24,1.29,3.79,1.22,3.78
62,1.79,0.32,1.46,0.24,1.25,3.77,1.19,3.78
63,1.79,0.32,1.46,0.24,1.26,3.76,1.2,3.75
64,1.77,0.31,1.47,0.24,1.27,3.77,1.22,3.76
65,1.76,0.31,1.49,0.24,1.27,3.78,1.24,3.78
66,1.75,0.31,1.52,0.24,1.33,3.78,1.27,3.78
67,1.75,0.31,1.49,0.24,1.28,3.78,1.25,3.78
68,1.73,0.31,1.5,0.24,1.29,3.77,1.25,3.8
69,1.72,0.31,1.5,0.24,1.26,3.76,1.21,3.77
70,1.71,0.31,1.49,0.24,1.3,3.76,1.26,3.75
71,1.7,0.3,1.51,0.24,1.27,3.75,1.21,3.76
72,1.69,0.3,1.49,0.24,1.26,3.77,1.21,3.79
73,1.69,0.3,1.51,0.24,1.28,3.78,1.26,3.8
74,1.68,0.3,1.5,0.24,1.28,3.76,1.21,3.78
75,1.67,0.3,1.52,0.24,1.28,3.76,1.22,3.78
76,1.68,0.3,1.5,0.24,1.29,3.77,1.23,3.78
77,1.66,0.3,1.55,0.25,1.31,3.76,1.27,3.77
78,1.65,0.3,1.52,0.24,1.29,3.73,1.25,3.74
79,1.64,0.3,1.51,0.24,1.3,3.76,1.24,3.76
80,1.62,0.3,1.54,0.25,1.32,3.76,1.27,3.75
81,1.6,0.29,1.53,0.25,1.29,3.76,1.25,3.76
82,1.58,0.29,1.54,0.25,1.3,3.77,1.26,3.79
83,1.57,0.29,1.53,0.25,1.3,3.78,1.25,3.78
84,1.55,0.29,1.53,0.25,1.3,3.77,1.24,3.77
85,1.55,0.29,1.55,0.25,1.29,3.76,1.23,3.78
