epoch,train1,train12,val1,val12,err1,err12,err1Avg,err12Avg
1,4.75,0.69,4.59,0.65,3.39,3.74,3.42,3.74
2,4.6,0.66,4.31,0.61,1.66,3.73,1.56,3.69
3,4.39,0.63,3.82,0.54,1.56,3.82,1.49,3.74
4,3.99,0.58,2.87,0.43,1.48,3.75,1.47,3.79
5,3.38,0.55,2.53,0.39,1.48,3.99,1.48,4.02
6,3.18,0.55,2.62,0.37,1.36,3.68,1.38,3.72
7,3.09,0.51,2.62,0.36,1.65,3.94,1.63,3.98
8,3.01,0.48,2.45,0.38,1.6,3.87,1.59,3.98
9,2.93,0.47,2.27,0.39,1.42,3.7,1.46,3.66
10,2.86,0.47,2.16,0.38,1.38,3.7,1.38,3.65
11,2.77,0.46,1.96,0.36,1.39,3.69,1.37,3.68
12,2.66,0.45,1.85,0.34,1.34,3.54,1.38,3.49
13,2.6,0.45,1.82,0.32,1.62,3.59,1.78,3.53
14,2.56,0.44,1.79,0.3,1.56,3.73,1.63,3.73
15,2.53,0.43,3.04,0.35,2.71,3.66,2.81,3.66
16,2.66,0.43,1.77,0.29,1.46,3.75,1.53,3.77
17,2.53,0.42,1.81,0.3,1.35,3.66,1.41,3.61
18,2.49,0.41,1.73,0.29,1.34,3.67,1.43,3.67
19,2.46,0.41,1.73,0.29,1.36,3.7,1.47,3.69
20,2.45,0.41,1.73,0.29,1.47,3.72,1.62,3.7
21,2.43,0.41,1.73,0.29,1.5,3.69,1.65,3.7
22,2.42,0.4,1.71,0.28,1.47,3.69,1.61,3.68
23,2.41,0.4,1.71,0.28,1.43,3.73,1.57,3.73
24,2.4,0.4,1.7,0.28,1.42,3.77,1.54,3.8
25,2.38,0.4,1.69,0.28,1.41,3.77,1.51,3.79
26,2.38,0.4,1.69,0.28,1.42,3.75,1.52,3.77
27,2.37,0.4,1.68,0.27,1.44,3.69,1.55,3.73
28,2.36,0.39,1.69,0.27,1.45,3.68,1.58,3.7
29,2.35,0.39,1.68,0.27,1.44,3.66,1.6,3.67
30,2.34,0.39,1.67,0.27,1.42,3.65,1.57,3.66
31,2.33,0.39,1.67,0.27,1.41,3.64,1.53,3.66
32,2.32,0.39,1.67,0.27,1.42,3.65,1.55,3.68
33,2.32,0.39,1.67,0.27,1.45,3.68,1.6,3.73
34,2.31,0.39,1.66,0.27,1.43,3.7,1.57,3.76
35,2.31,0.39,1.66,0.27,1.41,3.72,1.55,3.78
36,2.3,0.38,2.72,0.34,2.54,3.74,2.75,3.81
37,2.45,0.4,1.68,0.27,1.43,3.74,1.59,3.83
38,2.38,0.4,1.68,0.27,1.42,3.8,1.57,3.9
39,2.33,0.39,1.76,0.29,1.46,3.82,1.66,3.93
40,2.33,0.39,1.73,0.29,1.42,3.77,1.63,3.88
41,2.31,0.39,1.66,0.28,1.37,3.71,1.52,3.8
42,2.29,0.38,1.64,0.27,1.4,3.73,1.52,3.84
43,2.28,0.38,1.63,0.27,1.44,3.78,1.63,3.88
44,2.27,0.38,1.62,0.27,1.45,3.79,1.65,3.86
45,2.26,0.38,1.62,0.27,1.39,3.78,1.57,3.86
46,2.25,0.38,1.61,0.27,1.38,3.78,1.53,3.89
47,2.25,0.38,1.6,0.27,1.39,3.8,1.53,3.9
48,2.24,0.37,1.6,0.27,1.4,3.8,1.55,3.89
49,2.23,0.37,1.6,0.26,1.42,3.83,1.61,3.91
50,2.23,0.37,1.6,0.26,1.4,3.83,1.54,3.9
51,2.22,0.37,1.59,0.26,1.36,3.81,1.52,3.87
52,2.21,0.37,1.59,0.26,1.4,3.83,1.57,3.9
53,2.21,0.37,1.59,0.26,1.39,3.84,1.55,3.87
54,2.21,0.37,1.59,0.26,1.39,3.85,1.54,3.87
55,2.2,0.37,1.58,0.26,1.38,3.84,1.53,3.87
56,2.2,0.37,1.58,0.26,1.37,3.85,1.55,3.86
57,2.19,0.37,1.58,0.26,1.36,3.83,1.52,3.83
58,2.19,0.37,1.57,0.26,1.37,3.84,1.55,3.84
59,2.19,0.37,1.57,0.26,1.36,3.84,1.52,3.85
60,2.19,0.37,1.57,0.26,1.37,3.83,1.55,3.82
61,2.18,0.37,1.56,0.26,1.38,3.85,1.56,3.85
62,2.18,0.36,1.57,0.26,1.35,3.83,1.54,3.8
63,2.17,0.36,1.55,0.26,1.34,3.81,1.52,3.81
64,2.17,0.36,1.55,0.26,1.34,3.82,1.49,3.81
65,2.17,0.36,1.55,0.26,1.36,3.84,1.54,3.85
66,2.16,0.36,1.55,0.26,1.31,3.78,1.47,3.78
67,2.16,0.36,1.55,0.26,1.35,3.83,1.51,3.84
68,2.15,0.36,1.54,0.26,1.33,3.78,1.48,3.79
69,2.15,0.36,1.54,0.26,1.34,3.79,1.48,3.8
70,2.14,0.36,1.54,0.25,1.33,3.8,1.51,3.83
71,2.14,0.36,1.54,0.26,1.31,3.79,1.47,3.8
72,2.14,0.36,1.53,0.26,1.33,3.81,1.49,3.83
73,2.13,0.36,1.53,0.26,1.3,3.78,1.46,3.78
74,2.13,0.36,1.53,0.25,1.33,3.79,1.5,3.82
75,2.13,0.36,1.53,0.25,1.3,3.77,1.46,3.78
76,2.13,0.36,1.52,0.25,1.32,3.76,1.47,3.79
77,2.12,0.36,1.53,0.25,1.32,3.77,1.48,3.78
78,2.12,0.36,1.52,0.25,1.32,3.77,1.48,3.78
79,2.12,0.35,1.52,0.25,1.3,3.77,1.47,3.77
80,2.11,0.35,1.52,0.25,1.31,3.77,1.47,3.77
81,2.11,0.35,1.51,0.25,1.34,3.78,1.5,3.77
82,2.11,0.35,1.51,0.25,1.29,3.76,1.45,3.74
83,2.11,0.35,1.51,0.25,1.33,3.79,1.49,3.79
84,2.11,0.35,1.51,0.25,1.31,3.77,1.48,3.76
85,2.1,0.35,1.51,0.25,1.31,3.76,1.48,3.75
86,2.1,0.35,1.51,0.25,1.31,3.77,1.48,3.75
87,2.1,0.35,1.5,0.25,1.31,3.75,1.48,3.75
88,2.09,0.35,1.5,0.25,1.31,3.75,1.48,3.74
89,2.09,0.35,1.51,0.25,1.32,3.77,1.49,3.75
90,2.09,0.35,1.5,0.25,1.3,3.75,1.47,3.72
91,2.09,0.35,1.5,0.25,1.34,3.76,1.51,3.76
92,2.08,0.35,1.5,0.25,1.29,3.74,1.47,3.73
93,2.08,0.35,1.49,0.25,1.31,3.75,1.49,3.74
94,2.08,0.35,1.5,0.25,1.3,3.74,1.47,3.72
95,2.08,0.35,1.5,0.25,1.31,3.74,1.49,3.73
96,2.08,0.35,1.49,0.25,1.31,3.74,1.49,3.73
97,2.07,0.35,1.5,0.25,1.3,3.73,1.47,3.74
98,2.07,0.35,1.49,0.25,1.31,3.74,1.49,3.72
99,2.07,0.35,1.5,0.25,1.3,3.73,1.48,3.73
100,2.07,0.35,1.5,0.25,1.32,3.75,1.49,3.72
101,2.06,0.35,1.49,0.25,1.3,3.73,1.47,3.71
102,2.16,0.35,1.58,0.26,1.29,3.75,1.47,3.73
103,2.22,0.37,1.58,0.29,1.31,3.75,1.5,3.73
104,2.17,0.37,1.65,0.3,1.31,3.75,1.49,3.73
105,2.15,0.37,1.58,0.28,1.32,3.78,1.5,3.75
106,2.12,0.36,1.52,0.26,1.27,3.75,1.47,3.74
107,2.11,0.36,1.51,0.25,1.31,3.77,1.51,3.75
108,2.1,0.36,1.5,0.25,1.28,3.75,1.48,3.73
109,2.09,0.35,1.5,0.25,1.26,3.74,1.47,3.72
110,2.08,0.35,1.51,0.25,1.29,3.78,1.5,3.74
111,2.08,0.35,1.5,0.25,1.27,3.75,1.48,3.72
112,2.07,0.35,1.5,0.25,1.29,3.77,1.5,3.74
113,2.07,0.35,1.5,0.25,1.28,3.76,1.48,3.73
114,2.07,0.35,1.5,0.25,1.29,3.76,1.5,3.74
115,2.06,0.35,1.5,0.25,1.27,3.75,1.47,3.72
116,2.07,0.35,1.49,0.25,1.29,3.75,1.48,3.73
117,2.06,0.35,1.5,0.25,1.29,3.76,1.49,3.73
118,2.06,0.35,1.49,0.25,1.28,3.75,1.49,3.74
119,2.06,0.35,1.51,0.25,1.29,3.75,1.49,3.75
120,2.06,0.35,1.5,0.25,1.28,3.76,1.49,3.75
121,2.05,0.35,1.5,0.25,1.28,3.75,1.48,3.74
122,2.05,0.35,1.5,0.25,1.29,3.75,1.49,3.75
123,2.05,0.35,1.5,0.24,1.29,3.75,1.49,3.75
124,2.05,0.35,1.49,0.25,1.27,3.76,1.48,3.73
125,2.04,0.35,1.51,0.25,1.29,3.76,1.49,3.75
126,2.04,0.35,1.49,0.25,1.27,3.74,1.46,3.73
127,2.04,0.35,1.5,0.25,1.3,3.76,1.49,3.75
128,2.04,0.35,1.5,0.25,1.29,3.76,1.48,3.74
129,2.04,0.35,1.49,0.25,1.28,3.74,1.48,3.73
130,2.03,0.35,1.5,0.25,1.28,3.75,1.49,3.75
131,2.03,0.35,1.5,0.25,1.27,3.74,1.47,3.72
132,2.03,0.35,1.5,0.25,1.28,3.75,1.47,3.74
133,2.03,0.35,1.5,0.25,1.28,3.75,1.48,3.73
134,2.03,0.35,1.49,0.25,1.28,3.74,1.49,3.73
135,2.03,0.35,1.5,0.25,1.28,3.75,1.47,3.73
136,2.02,0.34,1.49,0.24,1.29,3.75,1.5,3.74
137,2.02,0.35,1.49,0.25,1.27,3.74,1.48,3.71
138,2.02,0.34,1.49,0.24,1.27,3.74,1.46,3.72
139,2.02,0.34,1.49,0.25,1.29,3.75,1.49,3.74
140,2.02,0.34,1.49,0.25,1.27,3.74,1.47,3.72
