epoch,train1,train12,val1,val12,err1,err12,err1Avg,err12Avg
1,4.74,0.67,4.52,0.62,2.34,3.72,2.22,3.73
2,4.63,0.63,4.27,0.55,2.13,3.74,1.81,3.76
3,4.44,0.57,3.74,0.43,1.58,3.74,1.52,3.85
4,4.04,0.5,3.01,0.35,1.5,4.09,1.48,4.14
5,3.63,0.49,2.71,0.36,1.47,4.14,1.48,4.16
6,3.38,0.47,2.58,0.38,1.46,3.89,1.48,3.82
7,3.23,0.46,2.53,0.38,1.43,3.78,1.48,3.7
8,3.11,0.45,2.4,0.36,1.36,3.74,1.45,3.69
9,2.98,0.44,2.28,0.34,1.41,3.85,1.45,3.74
10,2.88,0.44,2.18,0.33,1.57,3.93,1.71,4.0
11,2.77,0.43,1.97,0.32,1.6,4.02,1.7,4.11
12,2.67,0.42,1.87,0.31,1.57,3.97,1.58,4.02
13,2.61,0.42,1.85,0.3,1.46,3.83,1.47,3.74
14,2.57,0.41,1.83,0.29,1.49,3.81,1.55,3.73
15,2.55,0.4,1.8,0.28,1.49,3.84,1.56,3.87
16,2.53,0.4,1.84,0.28,1.51,3.85,1.56,3.98
17,2.52,0.4,1.76,0.27,1.47,3.81,1.49,3.94
18,2.5,0.39,1.76,0.28,1.47,3.74,1.41,3.82
19,2.48,0.39,1.75,0.27,1.45,3.72,1.39,3.72
20,2.47,0.39,1.78,0.28,1.48,3.69,1.42,3.66
21,2.45,0.39,1.74,0.27,1.46,3.69,1.45,3.67
22,2.44,0.39,1.75,0.27,1.46,3.69,1.5,3.72
23,2.43,0.38,1.74,0.27,1.47,3.72,1.49,3.76
24,2.42,0.38,1.74,0.27,1.46,3.72,1.46,3.74
25,2.54,0.39,1.72,0.26,1.43,3.73,1.41,3.78
26,2.43,0.38,1.72,0.27,1.43,3.71,1.4,3.75
27,2.41,0.38,1.73,0.27,1.45,3.71,1.43,3.71
28,2.39,0.38,1.72,0.26,1.47,3.74,1.54,3.78
29,2.39,0.38,1.72,0.26,1.44,3.71,1.47,3.71
30,2.38,0.37,1.73,0.26,1.43,3.7,1.46,3.7
31,2.37,0.37,1.71,0.26,1.42,3.75,1.49,3.72
32,2.36,0.37,1.72,0.26,1.42,3.76,1.46,3.73
33,2.35,0.37,1.7,0.26,1.42,3.78,1.44,3.75
34,2.34,0.37,1.7,0.26,1.42,3.79,1.48,3.79
35,2.34,0.37,1.69,0.26,1.42,3.79,1.47,3.77
36,2.33,0.37,1.69,0.26,1.42,3.76,1.42,3.75
37,2.33,0.36,1.69,0.26,1.41,3.77,1.47,3.75
38,2.32,0.36,1.68,0.25,1.41,3.76,1.45,3.73
39,2.32,0.36,1.75,0.26,1.42,3.76,1.46,3.75
40,2.34,0.37,1.7,0.25,1.4,3.75,1.43,3.79
41,2.35,0.37,1.66,0.26,1.41,3.75,1.47,3.78
42,2.31,0.36,1.75,0.27,1.42,3.75,1.47,3.79
43,2.31,0.36,1.65,0.26,1.4,3.73,1.42,3.76
44,2.3,0.36,1.66,0.25,1.39,3.73,1.44,3.69
45,2.29,0.36,1.67,0.26,1.41,3.74,1.48,3.7
46,2.29,0.36,1.67,0.26,1.4,3.73,1.46,3.74
47,2.28,0.36,1.65,0.25,1.39,3.72,1.44,3.77
48,2.27,0.36,1.65,0.25,1.39,3.77,1.46,3.77
49,2.27,0.36,1.65,0.25,1.39,3.78,1.44,3.76
50,2.26,0.36,1.64,0.25,1.38,3.78,1.42,3.76
51,2.26,0.36,1.63,0.25,1.39,3.78,1.41,3.74
52,2.25,0.36,1.63,0.25,1.39,3.79,1.45,3.77
53,2.25,0.36,1.62,0.25,1.39,3.77,1.42,3.74
54,2.24,0.36,1.61,0.25,1.38,3.78,1.41,3.75
55,2.24,0.35,1.61,0.25,1.37,3.76,1.39,3.73
56,2.23,0.35,1.61,0.25,1.38,3.79,1.43,3.75
57,2.23,0.35,1.61,0.25,1.38,3.77,1.4,3.75
58,2.22,0.35,1.59,0.25,1.38,3.79,1.39,3.74
59,2.21,0.35,1.6,0.25,1.37,3.79,1.39,3.75
60,2.21,0.35,1.59,0.25,1.37,3.8,1.39,3.75
61,2.21,0.35,1.58,0.25,1.36,3.79,1.38,3.74
62,2.2,0.35,1.58,0.25,1.35,3.78,1.38,3.72
63,2.2,0.35,1.57,0.25,1.37,3.81,1.42,3.74
64,2.19,0.35,1.57,0.25,1.33,3.79,1.37,3.72
65,2.19,0.35,1.56,0.24,1.34,3.82,1.37,3.74
66,2.19,0.35,1.57,0.25,1.34,3.8,1.37,3.73
