epoch,train1,train12,val1,val12,err1,err12,err1Avg,err12Avg
10,4.81,0.69,4.77,0.66,3.98,3.66,4.26,3.67
20,4.78,0.68,4.73,0.65,4.49,3.64,4.8,3.67
30,4.75,0.67,4.68,0.64,3.74,3.67,4.07,3.71
40,4.72,0.67,4.64,0.63,3.6,3.72,3.66,3.73
50,4.68,0.66,4.59,0.62,3.35,3.74,3.3,3.74
60,4.65,0.65,4.53,0.61,1.82,3.82,1.64,3.78
70,4.6,0.64,4.47,0.6,1.78,3.84,1.64,3.82
80,4.55,0.64,4.39,0.58,1.74,3.87,1.63,3.84
90,4.49,0.63,4.3,0.57,1.74,3.8,1.62,3.84
100,4.41,0.62,4.18,0.55,1.72,3.79,1.61,3.79
110,4.32,0.61,4.04,0.53,1.71,3.81,1.58,3.82
120,4.2,0.59,3.87,0.51,1.68,3.86,1.54,3.91
130,4.07,0.58,3.69,0.48,1.63,3.92,1.49,3.95
140,3.91,0.57,3.49,0.46,1.58,3.9,1.48,3.92
150,3.74,0.56,3.31,0.45,1.54,3.76,1.48,3.72
160,3.59,0.55,3.15,0.43,1.52,3.65,1.48,3.68
170,3.47,0.55,3.01,0.42,1.5,3.32,1.48,3.31
180,3.36,0.54,2.9,0.41,1.5,3.36,1.48,3.35
190,3.28,0.53,2.81,0.41,1.49,3.7,1.48,3.67
200,3.21,0.52,2.74,0.4,1.49,3.77,1.48,3.83
210,3.16,0.52,2.69,0.4,1.49,3.73,1.48,3.82
220,3.12,0.51,2.65,0.39,1.49,3.7,1.48,3.78
230,3.08,0.51,2.63,0.39,1.5,3.67,1.48,3.68
240,3.06,0.5,2.61,0.38,1.5,3.48,1.48,3.45
250,3.04,0.5,2.6,0.38,1.5,3.38,1.48,3.35
260,3.02,0.5,2.59,0.38,1.5,3.33,1.48,3.33
270,3.01,0.49,2.59,0.38,1.5,3.29,1.48,3.25
280,3.0,0.49,2.59,0.38,1.5,3.2,1.48,3.17
290,2.99,0.49,2.59,0.38,1.51,3.21,1.48,3.17
300,2.98,0.48,2.59,0.38,1.51,3.21,1.48,3.17
310,2.97,0.48,2.58,0.38,1.51,3.21,1.48,3.17
320,2.96,0.48,2.58,0.37,1.51,3.21,1.48,3.18
330,2.95,0.48,2.58,0.37,1.51,3.21,1.48,3.18
340,2.95,0.47,2.57,0.37,1.51,3.22,1.48,3.18
350,2.94,0.47,2.57,0.37,1.52,3.22,1.48,3.18
360,2.93,0.47,2.56,0.37,1.53,3.23,1.48,3.19
370,2.93,0.47,2.56,0.37,1.54,3.25,1.48,3.19
380,2.92,0.46,2.55,0.37,1.55,3.28,1.48,3.2
390,2.91,0.46,2.54,0.37,1.56,3.33,1.48,3.21
400,2.91,0.46,2.53,0.37,1.56,3.35,1.48,3.22
410,2.9,0.46,2.53,0.37,1.56,3.36,1.48,3.22
420,2.9,0.46,2.52,0.37,1.56,3.37,1.48,3.22
430,2.89,0.45,2.51,0.37,1.56,3.37,1.48,3.23
440,2.88,0.45,2.5,0.37,1.56,3.37,1.48,3.23
450,2.88,0.45,2.5,0.37,1.56,3.36,1.48,3.24
460,2.88,0.45,2.49,0.37,1.56,3.37,1.48,3.23
470,2.87,0.45,2.49,0.37,1.56,3.37,1.48,3.23
480,2.87,0.45,2.48,0.37,1.56,3.37,1.48,3.23
490,2.86,0.45,2.48,0.37,1.56,3.38,1.48,3.24
500,2.86,0.45,2.47,0.37,1.56,3.38,1.48,3.24
510,2.85,0.44,2.47,0.37,1.56,3.37,1.48,3.23
520,2.85,0.44,2.46,0.37,1.56,3.38,1.49,3.25
530,2.85,0.44,2.45,0.37,1.56,3.38,1.49,3.25
540,2.84,0.44,2.45,0.37,1.56,3.38,1.49,3.25
550,2.84,0.44,2.44,0.37,1.56,3.37,1.49,3.25
560,2.83,0.44,2.44,0.37,1.56,3.37,1.49,3.24
570,2.83,0.44,2.44,0.37,1.55,3.37,1.49,3.25
580,2.83,0.44,2.43,0.37,1.55,3.37,1.5,3.25
590,2.82,0.44,2.43,0.37,1.55,3.37,1.51,3.25
600,2.81,0.44,2.42,0.37,1.55,3.37,1.51,3.25
610,2.81,0.44,2.42,0.37,1.55,3.37,1.51,3.25
620,2.81,0.44,2.41,0.37,1.55,3.38,1.52,3.24
630,2.81,0.43,2.41,0.37,1.54,3.39,1.52,3.25
640,2.8,0.43,2.4,0.37,1.54,3.41,1.52,3.25
650,2.8,0.43,2.39,0.37,1.55,3.43,1.52,3.28
660,2.79,0.43,2.39,0.36,1.55,3.45,1.52,3.29
670,2.79,0.43,2.38,0.36,1.55,3.47,1.52,3.3
680,2.79,0.43,2.37,0.36,1.55,3.5,1.53,3.31
690,2.78,0.43,2.36,0.36,1.56,3.54,1.53,3.33
700,2.78,0.43,2.36,0.36,1.55,3.59,1.53,3.37
