epoch,loss1,loss12,val_loss1,val_loss12,errCntAvg1,errCntAvg12,uniqIdx1,uniqIdx12,norm1,norm12
10,621.37,0.2,591.71,0.18,3.17,1.48,45,1,3.1743749999999999,1.48265625
20,598.39,0.19,580.89,0.18,3.89,1.48,44,1,3.8881250000000001,1.48265625
30,589.16,0.18,576.75,0.18,3.35,3.46,46,9,3.3529687500000001,3.4615624999999999
40,585.03,0.18,575.18,0.18,3.63,3.54,43,14,3.6262500000000002,3.5448437500000001
50,582.98,0.18,574.36,0.18,3.35,3.58,45,12,3.34859375,3.58203125
60,581.59,0.18,573.86,0.17,3.31,3.61,45,11,3.3082812499999998,3.6135937500000002
70,580.57,0.18,573.35,0.17,3.3,3.9,45,9,3.2965624999999998,3.9039062499999999
80,579.76,0.18,572.99,0.17,3.54,3.86,45,8,3.5371874999999999,3.86328125
90,579.11,0.18,572.63,0.17,3.45,3.88,45,10,3.4540625,3.8845312500000002
100,578.57,0.18,572.45,0.17,3.28,3.91,45,12,3.2805468750000002,3.9089062499999998
