epoch,loss,val_loss,errCntAvg,uniqIdx,norm
5,0.64,0.53,1.48,1,1.48265625
2,0.38,0.22,1.48,1,1.48265625
3,0.22,0.2,1.48,1,1.48265625
4,0.21,0.2,1.48,1,1.48265625
5,0.21,0.19,1.48,1,1.48265625
6,0.21,0.19,1.48,1,1.48265625
7,0.2,0.19,1.48,1,1.48265625
8,0.2,0.19,1.48,1,1.48265625
9,0.2,0.18,1.48,1,1.48265625
10,0.2,0.18,1.48,1,1.48265625
11,0.2,0.18,1.48,1,1.48265625
12,0.2,0.18,1.48,1,1.48265625
13,0.19,0.18,1.48,1,1.48265625
14,0.19,0.18,1.48,1,1.48265625
15,0.19,0.18,1.48,1,1.48265625
16,0.19,0.18,1.48,1,1.48265625
17,0.19,0.18,1.48,1,1.48265625
18,0.19,0.18,1.48,1,1.48265625
19,0.19,0.18,1.48,1,1.48265625
20,0.19,0.18,1.48,1,1.48265625
5,0.19,0.18,1.48,1,1.48265625
22,0.19,0.18,1.48,1,1.48265625
23,0.19,0.18,1.48,1,1.48265625
24,0.19,0.18,1.48,1,1.48265625
25,0.19,0.18,1.48,1,1.48265625
26,0.18,0.18,1.48,1,1.48265625
27,0.18,0.18,1.48,1,1.48265625
28,0.18,0.18,1.48,1,1.48265625
29,0.18,0.18,1.48,1,1.48265625
30,0.18,0.18,1.48,1,1.48265625
31,0.18,0.18,1.48,1,1.48265625
32,0.18,0.18,1.48,1,1.48265625
33,0.18,0.18,1.48,1,1.48265625
34,0.18,0.18,1.48,1,1.48265625
35,0.18,0.18,1.48,1,1.48265625
36,0.18,0.18,1.48,1,1.48265625
37,0.18,0.18,1.48,1,1.48265625
38,0.18,0.18,1.48,1,1.48265625
39,0.18,0.18,1.48,1,1.48265625
40,0.18,0.18,1.48,1,1.48265625
5,0.18,0.18,3.87,6,3.8651562500000001
42,0.18,0.18,3.87,6,3.8651562500000001
43,0.18,0.18,3.87,6,3.8651562500000001
44,0.18,0.18,3.87,6,3.8651562500000001
45,0.18,0.18,3.87,6,3.8651562500000001
46,0.18,0.18,3.87,6,3.8651562500000001
47,0.18,0.18,3.87,6,3.8651562500000001
48,0.18,0.18,3.87,6,3.8651562500000001
49,0.18,0.18,3.87,6,3.8651562500000001
50,0.18,0.18,3.87,6,3.8651562500000001
51,0.18,0.18,3.87,6,3.8651562500000001
52,0.18,0.18,3.87,6,3.8651562500000001
53,0.18,0.18,3.87,6,3.8651562500000001
54,0.18,0.18,3.87,6,3.8651562500000001
55,0.18,0.18,3.87,6,3.8651562500000001
56,0.18,0.18,3.87,6,3.8651562500000001
57,0.18,0.18,3.87,6,3.8651562500000001
58,0.18,0.18,3.87,6,3.8651562500000001
59,0.18,0.18,3.87,6,3.8651562500000001
60,0.18,0.18,3.87,6,3.8651562500000001
5,0.18,0.18,3.78,8,3.7832812499999999
62,0.18,0.18,3.78,8,3.7832812499999999
63,0.18,0.18,3.78,8,3.7832812499999999
64,0.18,0.18,3.78,8,3.7832812499999999
65,0.18,0.18,3.78,8,3.7832812499999999
66,0.18,0.18,3.78,8,3.7832812499999999
67,0.18,0.18,3.78,8,3.7832812499999999
68,0.18,0.18,3.78,8,3.7832812499999999
69,0.18,0.18,3.78,8,3.7832812499999999
70,0.18,0.18,3.78,8,3.7832812499999999
71,0.18,0.18,3.78,8,3.7832812499999999
72,0.18,0.18,3.78,8,3.7832812499999999
73,0.18,0.18,3.78,8,3.7832812499999999
74,0.18,0.18,3.78,8,3.7832812499999999
75,0.18,0.18,3.78,8,3.7832812499999999
76,0.18,0.18,3.78,8,3.7832812499999999
77,0.18,0.18,3.78,8,3.7832812499999999
78,0.18,0.18,3.78,8,3.7832812499999999
79,0.18,0.18,3.78,8,3.7832812499999999
80,0.18,0.18,3.78,8,3.7832812499999999
5,0.18,0.18,4.23,5,4.2270312499999996
82,0.18,0.18,4.23,5,4.2270312499999996
83,0.18,0.18,4.23,5,4.2270312499999996
84,0.18,0.18,4.23,5,4.2270312499999996
85,0.18,0.18,4.23,5,4.2270312499999996
86,0.18,0.18,4.23,5,4.2270312499999996
87,0.18,0.17,4.23,5,4.2270312499999996
88,0.18,0.17,4.23,5,4.2270312499999996
89,0.18,0.17,4.23,5,4.2270312499999996
90,0.18,0.17,4.23,5,4.2270312499999996
91,0.18,0.17,4.23,5,4.2270312499999996
92,0.18,0.17,4.23,5,4.2270312499999996
